Customer_ID,Gender,Age,Married,State,Number_of_Referrals,Tenure_in_Months,Value_Deal,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason
11098-MAD,Female,30,Yes,"Madhya Pradesh",0,31,"Deal 1",Yes,No,Yes,"Fiber Optic",Yes,Yes,No,Yes,No,Yes,Yes,Yes,"Two Year",No,"Bank Withdrawal",95.1,6683.4,0,0,631.72,7315.12,Stayed,Others,Others
11114-PUN,Male,51,No,Punjab,5,9,"Deal 5",Yes,No,Yes,DSL,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,"Bank Withdrawal",49.15,169.05,0,10,122.37,301.42,Churned,Competitor,"Competitor had better devices"
11167-WES,Female,43,Yes,"West Bengal",3,28,"Deal 1",Yes,Yes,Yes,"Fiber Optic",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Two Year",Yes,"Bank Withdrawal",116.05,8297.5,42.57,110,1872.98,10237.91,Stayed,Others,Others
11179-MAH,Male,35,No,Maharashtra,10,12,None,Yes,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",Yes,"Credit Card",84.4,5969.3,0,0,219.39,6188.69,Stayed,Others,Others
11180-TAM,Male,75,Yes,"Tamil Nadu",12,27,"Deal 2",Yes,No,Yes,DSL,Yes,No,No,Yes,Yes,Yes,No,No,"Two Year",Yes,"Credit Card",72.6,4084.35,0,140,332.08,4556.43,Stayed,Others,Others
11241-MAD,Female,41,Yes,"Madhya Pradesh",4,11,None,Yes,No,Yes,"Fiber Optic",No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",105.1,3634.8,0,0,95.88,3730.68,Stayed,Others,Others
11244-JAM,Female,20,No,"Jammu & Kashmir",3,9,None,Yes,Yes,Yes,Cable,Yes,No,No,No,Yes,Yes,Yes,No,"One Year",No,"Bank Withdrawal",76,1588.75,7.3,70,305.8,1957.25,Stayed,Others,Others
11251-UTT,Female,51,No,Uttarakhand,1,19,None,Yes,Yes,No,None,No,No,No,No,No,No,No,No,"One Year",No,"Bank Withdrawal",25.2,245.15,0,0,20.57,265.72,Stayed,Others,Others
11262-HAR,Female,73,Yes,Haryana,5,32,None,Yes,Yes,Yes,"Fiber Optic",No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",95.1,95.1,0,0,4.89,99.99,Churned,Price,"Price too high"
11263-HAR,Female,41,No,Haryana,13,31,"Deal 2",Yes,Yes,Yes,"Fiber Optic",Yes,No,No,No,Yes,Yes,Yes,Yes,"One Year",Yes,"Credit Card",99.65,6311.2,0,0,90.09,6401.29,Stayed,Others,Others
11264-MAH,Female,27,Yes,Maharashtra,14,17,"Deal 5",No,No,Yes,DSL,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",-4,24.8,0,0,0,24.8,Churned,Dissatisfaction,"Product dissatisfaction"
11272-UTT,Female,65,No,"Uttar Pradesh",0,19,"Deal 5",Yes,Yes,Yes,"Fiber Optic",No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",75.85,256.6,0,0,133.02,389.62,Churned,Competitor,"Competitor offered more data"
11277-UTT,Male,66,Yes,"Uttar Pradesh",10,23,None,Yes,No,Yes,DSL,No,Yes,Yes,No,No,No,No,Yes,"One Year",Yes,"Bank Withdrawal",54.8,731.3,0,0,136.63,867.93,Stayed,Others,Others
11288-MAD,Male,52,No,"Madhya Pradesh",6,24,None,Yes,No,No,None,No,No,No,No,No,No,No,No,"Two Year",Yes,"Credit Card",20.2,917.45,0,0,2112.32,3029.77,Stayed,Others,Others
11290-JAM,Female,70,Yes,"Jammu & Kashmir",0,36,"Deal 5",Yes,Yes,Yes,"Fiber Optic",No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",95.45,396.1,0,0,126.44,522.54,Churned,Competitor,"Competitor made better offer"
11301-WES,Female,31,No,"West Bengal",7,5,"Deal 3",Yes,Yes,Yes,Cable,No,No,No,No,No,No,No,Yes,"One Year",Yes,"Credit Card",51.55,1295.4,0,0,641.42,1936.82,Stayed,Others,Others
11310-RAJ,Female,78,Yes,Rajasthan,0,15,"Deal 2",Yes,Yes,Yes,"Fiber Optic",No,No,Yes,No,Yes,Yes,No,Yes,"One Year",Yes,"Bank Withdrawal",102.15,4735.35,0,0,1535.4,6270.75,Stayed,Others,Others
11340-JAM,Female,21,No,"Jammu & Kashmir",8,7,None,Yes,No,No,None,No,No,No,No,No,No,No,No,"One Year",Yes,"Bank Withdrawal",19.95,219.5,0,0,78.6,298.1,Stayed,Others,Others
11348-MAH,Female,46,No,Maharashtra,11,19,"Deal 3",Yes,No,Yes,Cable,Yes,Yes,No,No,No,No,No,No,Month-to-Month,No,"Bank Withdrawal",56.05,1522.65,0,110,1235.08,2867.73,Stayed,Others,Others
11359-AND,Female,28,Yes,"Andhra Pradesh",3,6,"Deal 4",Yes,No,No,None,No,No,No,No,No,No,No,No,"Two Year",No,"Credit Card",20.5,290.55,0,0,435.84,726.39,Stayed,Others,Others
11370-TAM,Female,21,No,"Tamil Nadu",15,10,"Deal 4",Yes,No,Yes,Cable,No,No,No,Yes,No,Yes,Yes,Yes,"One Year",No,"Credit Card",59.1,772.85,0,0,476.14,1248.99,Stayed,Others,Others
11392-JAM,Female,39,Yes,"Jammu & Kashmir",11,1,"Deal 2",Yes,No,Yes,"Fiber Optic",Yes,No,Yes,Yes,No,No,No,Yes,"One Year",No,"Bank Withdrawal",84.4,4484.05,0,0,1655.64,6139.69,Stayed,Others,Others
11392-KAR,Female,28,Yes,Karnataka,9,32,"Deal 1",Yes,Yes,Yes,"Fiber Optic",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",Yes,"Bank Withdrawal",112.55,7806.5,0,0,235.29,8041.79,Stayed,Others,Others
11410-AND,Male,80,No,"Andhra Pradesh",1,4,None,Yes,Yes,Yes,"Fiber Optic",Yes,No,No,No,Yes,Yes,Yes,Yes,"One Year",No,"Credit Card",101.55,5070.4,0,0,1217.16,6287.56,Stayed,Others,Others
11450-HAR,Male,60,Yes,Haryana,5,18,None,Yes,No,Yes,Cable,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"Two Year",No,"Credit Card",75.55,4707.85,0,0,398.79,5106.64,Stayed,Others,Others
11464-WES,Male,25,No,"West Bengal",12,5,None,Yes,Yes,Yes,"Fiber Optic",No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Credit Card",99.85,1992.55,0,0,522.06,2514.61,Stayed,Others,Others
11472-PUN,Female,33,No,Punjab,8,6,"Deal 5",Yes,No,Yes,Cable,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",55.4,55.4,0,0,13.01,68.41,Churned,Competitor,"Competitor had better devices"
11474-TEL,Male,59,Yes,Telangana,0,18,None,Yes,No,Yes,"Fiber Optic",Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,"Bank Withdrawal",75.6,661.55,0,0,189.99,851.54,Stayed,Others,Others
11510-KER,Female,46,No,Kerala,10,4,None,Yes,No,Yes,"Fiber Optic",No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",95.9,827.45,0,0,277.2,1104.65,Stayed,Others,Others
11535-WES,Male,43,No,"West Bengal",5,23,"Deal 2",No,No,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,"Two Year",Yes,"Bank Withdrawal",58.75,3038.55,0,0,0,3038.55,Stayed,Others,Others
11540-DEL,Male,63,Yes,Delhi,15,15,"Deal 2",Yes,Yes,Yes,"Fiber Optic",No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",104.1,5135.15,0,0,2288.43,7423.58,Stayed,Others,Others
11540-MAH,Female,50,Yes,Maharashtra,6,20,"Deal 2",No,No,Yes,DSL,Yes,Yes,No,No,No,Yes,Yes,Yes,"Two Year",No,"Bank Withdrawal",46.2,2431.95,0,0,0,2431.95,Stayed,Others,Others
11543-WES,Female,35,Yes,"West Bengal",0,7,None,Yes,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,"Bank Withdrawal",49.4,874.8,0,0,375.48,1250.28,Churned,Other,Deceased
11596-KAR,Female,40,No,Karnataka,15,11,"Deal 4",Yes,No,Yes,Cable,Yes,No,No,No,No,No,No,No,Month-to-Month,Yes,"Bank Withdrawal",49.2,571.15,0,80,114.96,766.11,Stayed,Others,Others
11604-HAR,Female,38,Yes,Haryana,4,8,None,Yes,Yes,Yes,"Fiber Optic",Yes,No,No,Yes,Yes,Yes,Yes,Yes,"One Year",Yes,"Bank Withdrawal",104.4,6721.6,0,0,892.8,7614.4,Stayed,Others,Others
11616-TAM,Male,26,No,"Tamil Nadu",6,2,None,Yes,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,No,Yes,"One Year",Yes,"Bank Withdrawal",68.7,1416.2,0,0,650,2066.2,Stayed,Others,Others
11647-GUJ,Male,44,No,Gujarat,2,4,"Deal 4",Yes,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",69.1,1083.7,0,0,223.84,1307.54,Stayed,Others,Others
11647-TAM,Male,81,No,"Tamil Nadu",1,21,None,Yes,Yes,Yes,"Fiber Optic",Yes,No,No,Yes,No,Yes,Yes,Yes,"Two Year",No,"Bank Withdrawal",93.75,5625.55,0,0,125.97,5751.52,Stayed,Others,Others
11663-GUJ,Male,28,No,Gujarat,13,13,"Deal 1",Yes,No,Yes,DSL,Yes,Yes,Yes,No,No,No,No,Yes,"Two Year",Yes,"Bank Withdrawal",59.75,4069.9,0,0,3408.6,7478.5,Stayed,Others,Others
11679-PUN,Female,38,Yes,Punjab,13,35,"Deal 4",Yes,Yes,Yes,"Fiber Optic",Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",98.7,973.25,0,0,373.6,1346.85,Churned,Attitude,"Attitude of support person"
11691-RAJ,Female,68,Yes,Rajasthan,13,10,"Deal 1",Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,No,Yes,"Two Year",No,"Credit Card",77.35,5396.25,0,0,2424.96,7821.21,Stayed,Others,Others
11713-MAD,Female,22,Yes,"Madhya Pradesh",4,5,"Deal 5",Yes,No,Yes,"Fiber Optic",No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,"Mailed Check",74.6,74.6,0,10,22.16,106.76,Churned,Competitor,"Competitor offered more data"
11744-TAM,Female,52,No,"Tamil Nadu",11,12,None,Yes,No,Yes,DSL,No,Yes,Yes,Yes,Yes,No,No,Yes,"One Year",Yes,"Credit Card",70.15,4224.7,0,0,2332.8,6557.5,Stayed,Others,Others
11751-UTT,Male,39,No,"Uttar Pradesh",4,23,None,Yes,Yes,Yes,"Fiber Optic",No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",100.6,1060.2,0,0,452.1,1512.3,Churned,Competitor,"Competitor offered more data"
11765-PUD,Male,32,Yes,Puducherry,10,36,"Deal 2",Yes,No,No,None,No,No,No,No,No,No,No,No,"Two Year",No,"Bank Withdrawal",19.5,1167.6,19.89,0,2401.98,3549.69,Stayed,Others,Others
